model,recall,accuracy,precision,f1,r2,mse,mae
SVM,0.9616519174041298,0.9800796812749004,0.9939024390243902,0.977511244377811,0.9195203283314095,0.0199203187250996,0.0199203187250996
LR,0.9616519174041298,0.9787516600265604,0.9908814589665653,0.9760479041916168,0.9141550168868368,0.021248339973439574,0.021248339973439574
kNN,0.9469026548672567,0.9760956175298805,1.0,0.9727272727272728,0.9034243939976914,0.02390438247011952,0.02390438247011952
CNN,0.8076923076923077,0.863031914893617,0.935933147632312,0.8670967741935485,0.4458562271062271,0.13696808510638298,0.13696808510638298
best_model,0.9519230769230769,0.9694148936170213,0.9924812030075187,0.9717791411042944,0.8762591575091575,0.030585106382978722,0.030585106382978722
